Seq_id	Size	Description
1	4503487	CP045163.1
2	4605437	CP009836.1
3	4662886	CP009785.1
4	4659530	CP009723.1
5	4702289	CP000308.1
6	4596548	CP045158.1
7	4517345	CP000668.1
8	4528383	CP006762.1
9	4556337	CP009973.1
10	4563069	CP010293.1
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
1	+	3474929	3505419	30491
2	+	454016	484524	30509
3	-	1980240	1949727	30514
4	-	244471	213958	30514
5	-	3167662	3137159	30504
6	+	871044	901536	30493
7	-	3469799	3440002	29798
8	-	2880754	2850952	29803
9	-	3799358	3768845	30514
10	-	3162670	3132162	30509
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	+	3776501	3811940	35440
2	+	755674	791117	35444
3	+	640930	676373	35444
4	+	3570530	3605973	35444
5	+	4424910	4462332	37423
6	-	576555	541112	35444
7	+	4157477	4192896	35420
8	-	2309227	2273790	35438
9	+	2461339	2496782	35444
10	+	3781961	3817384	35424
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	+	466157	493705	27549
2	-	2006192	1978644	27549
3	+	436358	463905	27548
4	+	3365958	3393505	27548
5	+	3991992	4019524	27533
6	+	3920882	3948430	27549
7	+	3529323	3556834	27512
8	-	2685844	2658333	27512
9	+	2256767	2284314	27548
10	+	4031588	4059120	27533
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	+	1108129	1151731	43603
2	+	2592470	2636072	43603
3	-	4496775	4453158	43618
4	-	2763478	2719860	43619
5	+	589694	634006	44313
6	-	3330649	3287047	43603
7	-	1882902	1839300	43603
8	+	3599915	3643517	43603
9	-	1654300	1610683	43618
10	-	2761260	2717660	43601
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	-	3627622	3548446	79177
2	-	606800	527552	79249
3	+	1825632	1904773	79142
4	+	91804	170963	79160
5	-	3269405	3190282	79124
6	+	725429	804664	79236
7	+	3317996	3397156	79161
8	+	2728918	2808112	79195
9	+	3646683	3725850	79168
10	+	4061029	4142164	81136
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	-	4350342	4277679	72664
2	+	1207304	1279970	72667
3	+	1589231	1661888	72658
4	+	4514916	4587573	72658
5	+	4097155	4169807	72653
6	+	116647	191281	74635
7	+	277960	350583	72624
8	+	3013468	3086265	72798
9	-	3421535	3348878	72658
10	-	3410984	3336501	74484
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
1	-	4469488	4464024	5465
2	-	1448629	1443165	5465
3	-	1006787	1001323	5465
4	-	3934440	3928976	5465
5	+	1	5465	5465
6	-	4562549	4557085	5465
7	-	4483379	4477930	5450
8	-	1974944	1969480	5465
9	-	2827947	2822483	5465
10	-	3510526	3505077	5450
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	-	2766308	2751784	14525
2	-	4349613	4335089	14525
3	+	2375795	2390319	14525
4	+	638951	653475	14525
5	-	2395989	2381465	14525
6	+	1591311	1605835	14525
7	-	2316479	2301955	14525
8	-	538037	523513	14525
9	+	4193784	4208308	14525
10	-	1350413	1335889	14525
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	+	1542874	1548650	5777
2	+	3027290	3033066	5777
3	-	4048384	4042608	5777
4	-	2314978	2309202	5777
5	+	833210	838986	5777
6	-	2860758	2854982	5777
7	-	1743661	1737885	5777
8	-	3742270	3736494	5777
9	-	1205861	1200085	5777
10	+	1938652	1944429	5778
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	-	4230417	4165863	64555
2	+	1327233	1391783	64551
3	-	966561	902731	63831
4	-	3894214	3830384	63831
5	-	3918933	3854163	64771
6	+	4253843	4320571	66729
7	-	4443868	4379086	64783
8	-	1935420	1870654	64767
9	-	2787720	2723890	63831
10	+	3601468	3668194	66727
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	-	2685060	2626542	58519
2	-	4268366	4209848	58519
3	+	2779532	2838043	58512
4	+	1042741	1101252	58512
5	-	2312667	2255313	57355
6	+	1672590	1731095	58506
7	-	2235824	2178496	57329
8	-	457390	400069	57322
9	+	41258	99770	58513
10	-	1267248	1209928	57321
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	+	3188033	3222415	34383
2	+	165874	200255	34382
3	-	2548784	2512541	36244
4	-	811925	775687	36239
5	+	2823847	2859370	35524
6	-	1167195	1132814	34382
7	+	3041659	3075983	34325
8	+	1261578	1295901	34324
9	-	4366777	4330539	36239
10	+	2812852	2848375	35524
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	2252142	2307143	55002
2	+	3837417	3892421	55005
3	-	3055625	2998679	56947
4	-	1318831	1261888	56944
5	+	1874410	1928793	54384
6	-	2107120	2050171	56950
7	-	932894	875913	56982
8	+	20853	77456	56604
9	-	317350	260406	56945
10	+	1609545	1666481	56937
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	+	502415	526872	24458
2	-	1969934	1945477	24458
3	+	472615	497072	24458
4	+	3402215	3426672	24458
5	-	4613164	4588707	24458
6	+	3957140	3981597	24458
7	+	3565544	3589278	23735
8	-	2649623	2625889	23735
9	+	2293024	2317481	24458
10	+	3176807	3203222	26416
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	-	502414	493706	8709
2	+	1969935	1978643	8709
3	-	472614	463906	8709
4	-	3402214	3393506	8709
5	-	4028224	4019525	8700
6	-	3957139	3948431	8709
7	-	3565543	3556835	8709
8	+	2649624	2658332	8709
9	-	2293023	2284315	8709
10	-	3176806	3168098	8709
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	-	1086215	1080400	5816
2	-	2570556	2564741	5816
3	+	4516730	4522545	5816
4	+	2783433	2789248	5816
5	-	567779	561964	5816
6	+	3352563	3358378	5816
7	+	1904930	1910745	5816
8	-	3577799	3571984	5816
9	+	1674255	1680070	5816
10	-	745653	739838	5816
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	+	8094	51453	43360
2	+	1490722	1534081	43360
3	+	1050839	1094207	43369
4	+	3976533	4019901	43369
5	+	3333805	3378933	45129
6	+	8094	51477	43384
7	+	8130	52066	43937
8	+	2017038	2060989	43952
9	+	2870040	2913407	43368
10	+	3555655	3597158	41504
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	+	1167683	1179954	12272
2	+	2652023	2664293	12271
3	-	4437188	4424917	12272
4	-	2703890	2691619	12272
5	+	649975	662246	12272
6	-	3271095	3258824	12272
7	-	2959220	2946950	12271
8	-	1179150	1166889	12262
9	-	1594709	1582435	12275
10	-	2701690	2689419	12272
--------------------------------------------------------------------------------
Block #21
Seq_id	Strand	Start	End	Length
1	-	3277202	3222416	54787
2	-	255041	200256	54786
3	+	2182189	2236986	54798
4	+	447122	501934	54813
5	-	2914170	2859371	54800
6	+	1078018	1132813	54796
7	-	3130641	3075984	54658
8	-	1350575	1295902	54674
9	+	4001855	4056647	54793
10	-	2903174	2848376	54799
--------------------------------------------------------------------------------
Block #22
Seq_id	Strand	Start	End	Length
1	-	352457	329623	22835
2	-	1835065	1812279	22787
3	+	966562	988636	22075
4	+	3894215	3916289	22075
5	+	3918934	3941718	22785
6	+	4090053	4112887	22835
7	+	4443869	4465243	21375
8	+	1935421	1956795	21375
9	+	2787721	2809795	22075
10	+	3468574	3489977	21404
--------------------------------------------------------------------------------
Block #23
Seq_id	Strand	Start	End	Length
1	+	3416879	3439634	22756
2	+	395966	418721	22756
3	-	2038463	2015706	22758
4	-	303403	280648	22756
5	+	3057701	3080424	22724
6	-	936232	913477	22756
7	+	3278000	3300771	22772
8	+	1497907	1520663	22757
9	-	3858137	3835382	22756
10	+	3053437	3076160	22724
--------------------------------------------------------------------------------
Block #24
Seq_id	Strand	Start	End	Length
1	+	2312708	2378878	66171
2	+	3897986	3964156	66171
3	-	2987812	2921641	66172
4	-	1251021	1184852	66170
5	+	1939716	2006047	66332
6	-	2044606	1978437	66170
7	-	865046	798893	66154
8	+	88323	154476	66154
9	-	249539	183369	66171
10	+	1679307	1746169	66863
--------------------------------------------------------------------------------
Block #25
Seq_id	Strand	Start	End	Length
1	-	3936552	3904263	32290
2	-	915737	883447	32291
3	+	1451610	1483899	32290
4	+	4377295	4409584	32290
5	-	4070048	4037759	32290
6	+	416478	448767	32290
7	-	4316775	4285189	31587
8	-	1808327	1776741	31587
9	+	3270681	3302970	32290
10	-	4436813	4404524	32290
--------------------------------------------------------------------------------
Block #26
Seq_id	Strand	Start	End	Length
1	+	2110203	2125206	15004
2	+	3695476	3710479	15004
3	+	3076467	3091483	15017
4	+	1339673	1354675	15003
5	-	1851724	1836673	15052
6	-	2249109	2234092	15018
7	+	953748	968802	15055
8	-	4528383	4513280	15104
9	+	338191	353193	15003
10	+	1475324	1490385	15062
--------------------------------------------------------------------------------
Block #27
Seq_id	Strand	Start	End	Length
1	+	3367078	3414219	47142
2	+	346165	393306	47142
3	-	2088311	2041130	47182
4	-	353243	306062	47182
5	+	3008053	3055042	46990
6	-	988058	938892	49167
7	+	3220639	3268348	47710
8	+	1440546	1488255	47710
9	-	3907977	3860796	47182
10	+	3001689	3050786	49098
--------------------------------------------------------------------------------
Block #28
Seq_id	Strand	Start	End	Length
1	-	3022154	2904223	117932
2	-	4605437	4487523	117915
3	+	2395735	2512540	116806
4	+	658890	775686	116797
5	-	2653491	2535404	118088
6	+	1333086	1449639	116554
7	-	2572195	2454041	118155
8	-	793737	675563	118175
9	+	4213724	4330538	116815
10	+	889176	1009250	120075
--------------------------------------------------------------------------------
Block #29
Seq_id	Strand	Start	End	Length
1	-	4047751	3962340	85412
2	-	1026905	941523	85383
3	+	1340326	1425822	85497
4	+	4264069	4351508	87440
5	+	202951	290760	87810
6	+	305319	390691	85373
7	-	3980131	3894753	85379
8	-	1713050	1627291	85760
9	+	3159535	3244892	85358
10	+	381429	473508	92080
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
1	-	3342283	3304231	38053
2	-	321878	282070	39809
3	+	2115352	2153200	37849
4	+	380284	418133	37850
5	-	2981216	2943154	38063
6	+	1012429	1050989	38561
7	-	3196289	3157706	38584
8	-	1416199	1377616	38584
9	+	3935525	3972866	37342
10	-	2972184	2934118	38067
--------------------------------------------------------------------------------
Block #31
Seq_id	Strand	Start	End	Length
1	-	3468874	3461856	7019
2	-	447961	440943	7019
3	+	1986467	1993485	7019
4	+	250698	258427	7730
5	+	3172079	3179097	7019
6	-	864974	858663	6312
7	+	3475326	3481380	6055
8	+	2886281	2892335	6055
9	+	3805429	3813158	7730
10	-	4161078	4153349	7730
--------------------------------------------------------------------------------
Block #32
Seq_id	Strand	Start	End	Length
1	+	1502206	1540929	38724
2	+	2986622	3025345	38724
3	-	4089015	4050327	38689
4	-	2355611	2316923	38689
5	+	792567	831265	38699
6	-	2901390	2862703	38688
7	-	2613347	2574650	38698
8	-	834905	796192	38714
9	-	1246484	1207805	38680
10	-	2412691	2374012	38680
--------------------------------------------------------------------------------
Block #33
Seq_id	Strand	Start	End	Length
1	-	8093	1	8093
2	-	1490721	1482629	8093
3	-	1047900	1040787	7114
4	-	3976532	3968440	8093
5	+	4660184	4668291	8108
6	-	8093	1	8093
7	-	8129	34	8096
8	-	2017037	2008944	8094
9	-	2870039	2861947	8093
10	-	3552632	3544525	8108
--------------------------------------------------------------------------------
Block #34
Seq_id	Strand	Start	End	Length
1	+	2090648	2096867	6220
2	+	3675921	3682140	6220
3	-	3229342	3223123	6220
4	-	1495881	1489662	6220
5	+	1714337	1720556	6220
6	-	2268752	2262524	6229
7	-	1093867	1087079	6789
8	-	4393352	4386563	6790
9	-	485659	480011	5649
10	+	1444785	1451004	6220
--------------------------------------------------------------------------------
Block #35
Seq_id	Strand	Start	End	Length
1	-	2751783	2685061	66723
2	-	4335088	4268367	66722
3	-	2616420	2548785	67636
4	-	879603	811926	67678
5	-	2381464	2312702	68763
6	+	1605836	1672589	66754
7	-	2301954	2235825	66130
8	-	523512	457391	66122
9	-	4434479	4366778	67702
10	-	1335888	1267495	68394
--------------------------------------------------------------------------------
Block #36
Seq_id	Strand	Start	End	Length
1	+	971076	992710	21635
2	-	2339662	2318028	21635
3	-	4584588	4562949	21640
4	-	2851290	2829651	21640
5	-	332302	310668	21635
6	+	3585457	3607073	21617
7	-	601585	579968	21618
8	-	3350038	3328421	21618
9	-	1742114	1720475	21640
10	-	515060	493426	21635
--------------------------------------------------------------------------------
Block #37
Seq_id	Strand	Start	End	Length
1	+	1752014	1792048	40035
2	+	3236431	3276478	40048
3	-	3672196	3632148	40049
4	-	1938777	1898729	40049
5	+	1278692	1320692	42001
6	-	2649594	2609538	40057
7	-	1536195	1496031	40165
8	+	3946615	3986780	40166
9	-	827696	787648	40049
10	+	2646719	2689418	42700
--------------------------------------------------------------------------------
Block #38
Seq_id	Strand	Start	End	Length
1	-	3092300	3026607	65694
2	-	70153	4453	65701
3	-	2683704	2617377	66328
4	-	946923	880560	66364
5	+	2672265	2737978	65714
6	+	1262923	1328633	65711
7	-	1813252	1747605	65648
8	+	3669595	3735210	65616
9	-	4501777	4435436	66342
10	+	815652	882764	67113
--------------------------------------------------------------------------------
Block #39
Seq_id	Strand	Start	End	Length
1	+	1054881	1080399	25519
2	+	2539222	2564740	25519
3	+	123170	148657	25488
4	+	3052754	3078241	25488
5	+	536428	561963	25536
6	-	3383897	3358379	25519
7	-	1937433	1910746	26688
8	+	3545500	3571983	26484
9	+	1943584	1969071	25488
10	+	712344	739837	27494
--------------------------------------------------------------------------------
Block #40
Seq_id	Strand	Start	End	Length
1	+	1945805	2014229	68425
2	+	3531049	3599502	68454
3	-	3374888	3306484	68405
4	-	1641463	1573023	68441
5	+	1581104	1650256	69153
6	-	2413561	2345184	68378
7	-	1237217	1168983	68235
8	+	4245596	4313757	68162
9	-	631215	562800	68416
10	-	1207619	1136541	71079
--------------------------------------------------------------------------------
Block #41
Seq_id	Strand	Start	End	Length
1	-	1747732	1731085	16648
2	-	3232149	3215502	16648
3	+	3676477	3693137	16661
4	+	1943058	1959718	16661
5	-	1274411	1257768	16644
6	-	2668233	2651549	16685
7	+	1540476	1557907	17432
8	-	3942334	3924910	17425
9	+	834673	850596	15924
10	-	2640478	2623834	16645
--------------------------------------------------------------------------------
Block #42
Seq_id	Strand	Start	End	Length
1	+	2150479	2240088	89610
2	+	3735752	3825363	89612
3	+	3130107	3219565	89459
4	+	1396645	1486104	89460
5	-	1813571	1724114	89458
6	-	2208819	2119198	89622
7	+	994678	1084717	90040
8	-	4487385	4397327	90059
9	+	386421	475881	89461
10	+	1516158	1607591	91434
--------------------------------------------------------------------------------
Block #43
Seq_id	Strand	Start	End	Length
1	+	3151133	3188032	36900
2	+	128984	165873	36890
3	+	2743095	2779531	36437
4	+	1006315	1042740	36426
5	+	2787698	2823846	36149
6	-	1204108	1167197	36912
7	+	3005305	3041658	36354
8	+	1225244	1261577	36334
9	+	4833	41257	36425
10	+	2774515	2812851	38337
--------------------------------------------------------------------------------
Block #44
Seq_id	Strand	Start	End	Length
1	+	3092451	3102589	10139
2	+	70304	80442	10139
3	+	2684057	2694710	10654
4	+	947276	957929	10654
5	-	2670350	2660671	9680
6	-	1262772	1252652	10121
7	+	1813403	1823495	10093
8	-	3669444	3659336	10109
9	+	4502130	4512783	10654
10	-	815480	804815	10666
--------------------------------------------------------------------------------
Block #45
Seq_id	Strand	Start	End	Length
1	+	419344	460925	41582
2	+	1903895	1945476	41582
3	-	538659	497073	41587
4	-	3468259	3426673	41587
5	+	4547121	4588706	41586
6	-	4023198	3981598	41601
7	-	3630158	3589279	40880
8	+	2585009	2625888	40880
9	-	2359068	2317482	41587
10	-	3245517	3203223	42295
--------------------------------------------------------------------------------
Block #46
Seq_id	Strand	Start	End	Length
1	+	3811941	3850702	38762
2	+	791118	829886	38769
3	+	676374	715113	38740
4	+	3605974	3644713	38740
5	+	4462333	4501128	38796
6	-	541111	502327	38785
7	+	4192897	4231656	38760
8	-	2273789	2235037	38753
9	+	2496783	2536233	39451
10	+	3247473	3286938	39466
--------------------------------------------------------------------------------
Block #47
Seq_id	Strand	Start	End	Length
1	+	1336438	1406443	70006
2	+	2820844	2890840	69997
3	-	4254808	4184788	70021
4	-	2521443	2451400	70044
5	+	1119614	1191057	71444
6	-	3067223	2997197	70027
7	-	2777812	2707106	70707
8	-	997804	927137	70668
9	-	1412293	1342273	70021
10	+	2232907	2306290	73384
--------------------------------------------------------------------------------
Block #48
Seq_id	Strand	Start	End	Length
1	-	1054880	1032301	22580
2	-	2539221	2516632	22590
3	-	123169	100588	22582
4	-	3052753	3030173	22581
5	-	536427	513846	22582
6	+	3384176	3406479	22304
7	-	797048	774296	22753
8	-	3545183	3522746	22438
9	-	1943583	1920999	22585
10	-	712343	689762	22582
--------------------------------------------------------------------------------
Block #49
Seq_id	Strand	Start	End	Length
1	-	3545939	3505420	40520
2	-	525045	484525	40521
3	+	1909239	1949726	40488
4	+	173470	213957	40488
5	+	3096638	3137158	40521
6	+	807171	847674	40504
7	+	3399479	3440001	40523
8	+	2810435	2850951	40517
9	+	3728357	3768844	40488
10	+	3091666	3132161	40496
--------------------------------------------------------------------------------
Block #50
Seq_id	Strand	Start	End	Length
1	-	3366741	3342284	24458
2	-	345828	321879	23950
3	+	2090679	2115351	24673
4	+	355611	380283	24673
5	-	3005685	2981217	24469
6	+	988467	1012428	23962
7	-	3220230	3196290	23941
8	-	1440137	1416200	23938
9	+	3910344	3935524	25181
10	+	2974190	2999322	25133
--------------------------------------------------------------------------------
Block #51
Seq_id	Strand	Start	End	Length
1	+	1925857	1945365	19509
2	+	3511101	3530609	19509
3	-	3397505	3377287	20219
4	-	1664079	1643862	20218
5	+	1559197	1578705	19509
6	-	2433509	2414001	19509
7	-	1257287	1237657	19631
8	+	4225526	4245156	19631
9	-	653832	633614	20219
10	+	1115069	1135288	20220
--------------------------------------------------------------------------------
Block #52
Seq_id	Strand	Start	End	Length
1	+	3104316	3140618	36303
2	+	82169	118469	36301
3	+	2696437	2732580	36144
4	+	959656	995800	36145
5	+	2738937	2775224	36288
6	-	1250925	1214623	36303
7	+	2959221	2994775	35555
8	+	1179160	1214714	35555
9	+	4514511	4550655	36145
10	-	803088	766785	36304
--------------------------------------------------------------------------------
Block #53
Seq_id	Strand	Start	End	Length
1	+	3628536	3684690	56155
2	+	607714	663864	56151
3	-	1824718	1768273	56446
4	-	90890	34443	56448
5	+	3270359	3326766	56408
6	-	724515	668365	56151
7	+	3696960	3753392	56433
8	-	2518194	2461911	56284
9	-	3645769	3589322	56448
10	+	4166124	4222570	56447
--------------------------------------------------------------------------------
Block #54
Seq_id	Strand	Start	End	Length
1	+	54716	94535	39820
2	+	1537344	1577163	39820
3	+	1097470	1137280	39811
4	+	4023164	4062983	39820
5	-	4660183	4618307	41877
6	-	4505314	4465463	39852
7	-	4357551	4317737	39815
8	-	1849119	1809289	39831
9	+	2916670	2956489	39820
10	-	155774	115981	39794
--------------------------------------------------------------------------------
Block #55
Seq_id	Strand	Start	End	Length
1	+	2766309	2811537	45229
2	+	4349614	4394842	45229
3	-	2375794	2330470	45325
4	-	638950	593460	45491
5	+	2395990	2440926	44937
6	-	1591310	1545788	45523
7	+	2316480	2361817	45338
8	+	538038	583339	45302
9	-	4193783	4148173	45611
10	+	1352372	1397681	45310
--------------------------------------------------------------------------------
Block #56
Seq_id	Strand	Start	End	Length
1	-	3740777	3719157	21621
2	-	719951	698331	21621
3	+	1712210	1733830	21621
4	+	4637910	4659530	21621
5	-	106303	84684	21620
6	+	612279	633899	21621
7	-	4121815	4100220	21596
8	-	1603127	1581517	21611
9	+	3533257	3554878	21622
10	-	284378	262758	21621
--------------------------------------------------------------------------------
Block #57
Seq_id	Strand	Start	End	Length
1	-	1925856	1915530	10327
2	-	3511100	3500774	10327
3	+	3397506	3407832	10327
4	+	1664080	1674406	10327
5	-	1559196	1548871	10326
6	+	2433510	2443836	10327
7	+	1259242	1269573	10332
8	-	4223571	4213240	10332
9	+	653833	664159	10327
10	-	1115068	1104742	10327
--------------------------------------------------------------------------------
Block #58
Seq_id	Strand	Start	End	Length
1	+	4048089	4108266	60178
2	+	1027243	1087420	60178
3	-	1339988	1279811	60178
4	-	4263731	4203554	60178
5	-	200986	141371	59616
6	-	304981	245345	59637
7	+	3980469	4039366	58898
8	+	1713300	1771389	58090
9	-	3159197	3099020	60178
10	-	381091	319495	61597
--------------------------------------------------------------------------------
Block #59
Seq_id	Strand	Start	End	Length
1	-	950701	894772	55930
2	+	2359909	2415838	55930
3	+	4604806	4662665	57860
4	+	2871508	2929365	57858
5	+	352539	409129	56591
6	-	3565209	3507351	57859
7	+	616863	672758	55896
8	+	3365316	3421210	55895
9	+	1762332	1820190	57859
10	+	528318	584927	56610
--------------------------------------------------------------------------------
Block #60
Seq_id	Strand	Start	End	Length
1	-	4452080	4414776	37305
2	-	1431221	1393917	37305
3	+	1489312	1526770	37459
4	+	4414997	4452455	37459
5	+	19371	56859	37489
6	-	4545141	4508723	36419
7	+	178006	215492	37487
8	+	2913703	2951189	37487
9	+	3308383	3345841	37459
10	+	195485	232973	37489
--------------------------------------------------------------------------------
Block #61
Seq_id	Strand	Start	End	Length
1	-	3691219	3685416	5804
2	-	670393	664590	5804
3	+	1761744	1767547	5804
4	+	27914	33717	5804
5	-	3333295	3327492	5804
6	+	661836	667639	5804
7	-	3759921	3754118	5804
8	+	2455382	2461185	5804
9	+	3582793	3588596	5804
10	+	4331272	4337075	5804
--------------------------------------------------------------------------------
Block #62
Seq_id	Strand	Start	End	Length
1	+	3692633	3719156	26524
2	+	671807	698330	26524
3	-	1760330	1733831	26500
4	-	26500	1	26500
5	+	58184	84683	26500
6	-	660422	633900	26523
7	+	4073695	4100219	26525
8	+	1554992	1581516	26525
9	-	3581379	3554879	26501
10	+	236258	262757	26500
--------------------------------------------------------------------------------
Block #63
Seq_id	Strand	Start	End	Length
1	+	4385487	4412041	26555
2	-	1172159	1145605	26555
3	-	1554101	1527546	26556
4	-	4479786	4453231	26556
5	-	3813837	3787282	26556
6	-	81509	55134	26376
7	-	242802	216268	26535
8	-	2978331	2951965	26367
9	+	3456665	3482920	26256
10	+	4303852	4330407	26556
--------------------------------------------------------------------------------
Block #64
Seq_id	Strand	Start	End	Length
1	+	2051856	2088715	36860
2	+	3637129	3673988	36860
3	-	3268148	3231275	36874
4	-	1534687	1497814	36874
5	+	1675530	1712404	36875
6	-	2307557	2270685	36873
7	-	1131418	1095800	35619
8	+	4350611	4386244	35634
9	-	524465	487592	36874
10	+	1405980	1442852	36873
--------------------------------------------------------------------------------
Block #65
Seq_id	Strand	Start	End	Length
1	-	2252141	2242042	10100
2	-	3837416	3827317	10100
3	+	3055626	3066703	11078
4	+	1318832	1329909	11078
5	-	1872455	1861488	10968
6	+	2107121	2117244	10124
7	+	932895	943984	11090
8	-	20852	9763	11090
9	+	317351	328428	11078
10	+	1454561	1465560	11000
--------------------------------------------------------------------------------
Block #66
Seq_id	Strand	Start	End	Length
1	+	1792049	1888960	96912
2	+	3276479	3373408	96930
3	-	3632147	3535247	96901
4	-	1898728	1801828	96901
5	+	1320693	1419532	98840
6	-	2609537	2512617	96921
7	-	1496030	1399746	96285
8	+	3986781	4083065	96285
9	-	787647	690779	96869
10	+	2522074	2622874	100801
--------------------------------------------------------------------------------
Block #67
Seq_id	Strand	Start	End	Length
1	-	3452477	3445047	7431
2	-	431564	424134	7431
3	+	2003053	2010293	7241
4	+	267995	275235	7241
5	-	3093077	3085837	7241
6	+	901537	908064	6528
7	-	3313365	3306124	7242
8	+	2901822	2908350	6529
9	+	3823441	3829969	6529
10	-	3089006	3081576	7431
--------------------------------------------------------------------------------
Block #68
Seq_id	Strand	Start	End	Length
1	+	2100448	2110201	9754
2	+	3685714	3695474	9761
3	+	3066704	3076465	9762
4	+	1329910	1339671	9762
5	-	1861487	1851726	9762
6	-	2258872	2249111	9762
7	+	943985	953746	9762
8	-	9762	1	9762
9	+	328429	338189	9761
10	+	1465561	1475322	9762
--------------------------------------------------------------------------------
Block #69
Seq_id	Strand	Start	End	Length
1	+	1242510	1336437	93928
2	+	2726855	2820843	93989
3	-	4349376	4254809	94568
4	-	2615992	2521444	94549
5	+	1021875	1117659	95785
6	-	3163121	3069178	93944
7	-	2872456	2777813	94644
8	-	1092396	997805	94592
9	-	1506818	1412294	94525
10	-	2080903	1985084	95820
--------------------------------------------------------------------------------
Block #70
Seq_id	Strand	Start	End	Length
1	-	1909891	1891189	18703
2	-	3495135	3476433	18703
3	+	3413471	3432185	18715
4	+	1680045	1698753	18709
5	-	1543232	1524524	18709
6	+	2449475	2468177	18703
7	+	1275138	1293944	18807
8	-	4207675	4188833	18843
9	+	669798	688509	18712
10	+	1917682	1936408	18727
--------------------------------------------------------------------------------
